총세대수,준공연도,건물형태,난방방식,승강기설치여부,실차량수,총면적,면적10-30,면적30-40,면적40-50,면적50-60,면적60-70,면적70-80,면적80-200,임대보증금,임대료
78,2013,계단식,개별,1,109,6023.7683,0,0,0,78,0,0,0,56962000.0,642930.0
35,2013,복도식,개별,1,35,1569.1668000000002,35,0,0,0,0,0,0,63062000.0,470100.0
88,2013,계단식,개별,1,88,7180.1396,0,0,0,88,0,0,0,72190000.0,586540.0
477,2014,복도식,지역,1,943,47058.9273,0,0,0,150,0,216,111,101516666.66666667,950305.0
15,2013,복도식,개별,1,21,543.0268,15,0,0,0,0,0,0,55227500.0,340148.3333333333
69,2014,계단식,개별,1,830,4802.465099999999,0,26,0,43,0,0,0,28780333.333333332,450920.0
86,2011,계단식,개별,1,892,6409.9462,0,40,0,46,0,0,0,0.0,0.0
39,2007,계단식,개별,1,744,4341.87,0,0,0,0,0,0,39,0.0,0.0
26,2012,계단식,지역,1,363,1967.5058000000004,0,26,0,0,0,0,0,0.0,0.0
46,2007,계단식,개별,1,632,5031.3328,0,0,0,0,0,0,46,0.0,0.0
908,2018,계단식,지역,1,1119,91706.27879999999,0,0,0,0,0,756,152,61333333.333333336,573333.3333333334
160,2014,계단식,지역,1,556,20155.896699999998,0,0,0,0,0,65,124,36094000.0,634472.5
234,2018,계단식,개별,1,357,23713.7273,0,0,0,0,0,93,141,56745600.0,600352.0
5,2007,계단식,개별,1,100,509.6,0,0,0,0,0,0,5,0.0,0.0
114,2010,계단식,개별,1,946,12859.242,0,0,0,0,0,0,114,0.0,0.0
6,2008,계단식,개별,1,516,680.1726,0,0,0,0,0,0,6,0.0,0.0
15,2007,계단식,개별,1,120,1737.8324999999998,0,0,0,0,0,0,15,0.0,0.0
11,2008,계단식,개별,1,211,1240.3544,0,0,0,0,0,0,11,0.0,0.0
14,2008,계단식,개별,1,899,1612.563,0,0,0,0,0,0,14,0.0,0.0
23,2007,계단식,개별,1,746,2504.2848999999997,0,0,0,0,0,0,23,0.0,0.0
16,2009,계단식,개별,1,1061,1377.1471999999999,0,0,6,4,0,0,6,0.0,0.0
46,2014,혼합식,개별,1,258,3131.3839999999996,0,37,0,9,0,0,0,36714000.0,381805.0
1228,2017,복도식,지역,1,1421,104504.22459999999,0,0,0,1228,0,0,0,44718000.0,483160.0
36,2009,계단식,지역,1,1107,3009.96,0,0,0,36,0,0,0,0.0,0.0
532,2016,계단식,개별,1,654,42768.310999999994,0,0,0,532,0,0,0,38939750.0,496907.5
1022,2017,계단식,개별,1,1635,95188.56159999999,0,0,0,0,608,394,0,38600000.0,544000.0
95,2007,계단식,개별,1,630,11097.0133,0,0,0,0,0,0,95,0.0,0.0
404,2019,계단식,개별,1,595,43060.908800000005,0,0,0,0,0,0,404,55000000.0,620000.0
204,2011,계단식,지역,1,1107,22474.9277,0,0,0,0,0,43,161,0.0,0.0
164,2011,계단식,지역,1,1212,86074.3984,0,0,0,0,0,294,498,0.0,0.0
1226,2013,계단식,지역,1,1378,150126.86320000002,0,0,0,0,0,376,850,189821857.14285713,815355.7142857143
155,2014,계단식,지역,1,479,15416.1401,0,0,0,71,0,17,67,76513833.33333333,744450.0
581,2013,계단식,지역,1,956,64055.366200000004,0,0,0,0,0,91,490,114770250.0,767010.0
464,2013,계단식,지역,1,919,50889.0706,0,0,0,0,0,100,364,113172333.33333333,759490.0
224,2014,계단식,지역,1,346,22667.7024,0,0,0,0,0,224,0,100389000.0,699330.0
733,2016,계단식,지역,1,1160,86968.3346,0,0,0,0,0,358,454,69463200.0,600004.0
992,2018,계단식,지역,1,1368,104129.15319999999,0,0,0,0,0,668,324,63333333.333333336,600000.0
371,2016,계단식,지역,1,437,30127.3666,0,0,0,371,0,0,0,46548333.333333336,460350.0
1444,2016,계단식,지역,1,1485,117542.5519,0,0,0,1444,0,0,0,50860285.71428572,505628.5714285714
26,2013,계단식,지역,1,814,2815.1112999999996,0,0,0,0,0,6,20,87417000.0,580897.5
2,2008,혼합식,개별,1,158,163.3726,0,0,0,2,0,0,0,0.0,0.0
154,2010,계단식,지역,1,752,12715.8292,0,0,0,154,0,0,0,89764000.0,101986.0
101,2009,혼합식,지역,1,747,10833.3267,0,0,0,0,0,9,92,0.0,0.0
871,2018,계단식,지역,1,1220,82271.2906,0,0,0,516,0,113,242,81800000.0,622000.0
688,2018,계단식,지역,1,1084,75528.9755,0,0,0,0,0,266,422,96250000.0,715000.0
582,2013,계단식,지역,1,1273,76863.4268,0,0,0,0,0,22,560,170746375.0,803672.5
388,2014,계단식,지역,1,874,42567.3391,0,0,0,0,0,103,285,85725000.0,491788.0
318,2014,계단식,지역,1,1082,43986.9025,0,0,0,0,0,11,307,97085500.0,509191.4285714286
307,2011,계단식,지역,1,618,32167.594,0,0,0,0,0,91,216,0.0,0.0
461,2011,계단식,지역,1,1077,51823.4715,0,0,0,0,0,24,437,0.0,0.0
48,2009,계단식,지역,1,491,4959.9348,0,0,0,0,0,36,12,0.0,0.0
947,2018,복도식,지역,1,1384,113941.5009,0,0,0,0,0,408,674,69000000.0,375000.0
526,2018,복도식,지역,1,862,55030.7418,0,0,0,0,0,228,298,69000000.0,375000.0
223,2014,계단식,지역,1,884,24077.641,0,0,0,0,0,75,148,50280000.0,357420.0
728,2015,계단식,개별,1,1135,78945.559,0,0,0,0,0,66,662,38256000.0,513730.0
756,2016,계단식,개별,1,902,62104.7498,0,0,0,756,0,0,0,33485333.333333332,357410.0
280,2013,계단식,개별,1,316,26784.9051,0,0,0,168,0,65,47,27352750.0,326160.0
344,2015,계단식,개별,1,465,33735.5416,0,0,0,90,0,116,138,49500000.0,490000.0
31,2006,계단식,개별,1,154,3297.9226,0,0,0,0,0,0,31,0.0,0.0
491,2015,계단식,지역,1,541,40807.898499999996,0,0,0,491,0,0,0,49283750.0,568930.0
475,2011,계단식,개별,1,506,52072.065,0,0,0,0,0,0,475,0.0,0.0
127,2007,계단식,개별,1,412,14136.4843,0,0,0,0,0,0,127,0.0,0.0
715,2004,계단식,개별,1,774,75880.8765,0,0,0,0,0,0,715,0.0,0.0
1,2005,계단식,개별,1,895,115.78800000000001,0,0,0,0,0,0,1,0.0,0.0
906,2014,계단식,지역,1,1565,89352.2235,0,0,0,250,0,271,385,31050400.0,523000.0
67,2001,계단식,개별,1,1112,7500.650000000001,0,0,0,0,0,0,67,0.0,0.0
34,2008,혼합식,개별,1,153,3720.4567999999995,0,0,0,0,0,0,34,0.0,0.0
20,2008,계단식,개별,1,27,2170.4359999999997,0,0,0,0,0,0,20,0.0,0.0
104,2008,계단식,개별,1,726,12289.934,0,0,0,0,0,0,104,40274000.0,172600.0
31,2000,복도식,개별,1,38,2278.3016000000002,0,0,0,0,31,0,0,0.0,0.0
32,2008,계단식,개별,1,348,3536.8032000000003,0,0,0,0,0,0,32,0.0,0.0
58,2007,계단식,개별,1,160,6390.1036,0,0,0,0,0,0,58,0.0,0.0
32,2015,계단식,개별,1,58,3252.1966,0,0,0,0,0,1,31,0.0,0.0
35,2007,계단식,개별,1,471,3909.2095,0,0,0,0,0,0,35,55169000.0,239860.0
528,2018,계단식,개별,1,619,42874.501099999994,0,0,0,528,0,0,0,32896000.0,185040.0
867,2018,계단식,개별,1,1237,73729.8416,0,0,0,694,0,105,68,45600000.0,530000.0
48,2009,계단식,지역,1,305,5258.0248,0,0,0,0,0,0,48,0.0,0.0
595,2017,계단식,개별,1,861,66286.9783,0,0,0,0,0,118,477,55800000.0,510000.0
126,2010,복도식,개별,1,246,14050.236799999999,0,0,0,0,0,0,126,0.0,0.0
559,1992,복도식,지역,1,307,32190.36,0,292,267,0,0,0,0,16818500.0,188630.0
870,1995,복도식,중앙,1,626,48133.740000000005,0,870,0,0,0,0,0,16879500.0,210195.0
818,2000,복도식,개별,1,654,48049.31999999999,0,818,0,0,0,0,0,20595000.0,249270.0
512,2006,복도식,개별,1,399,29309.440000000002,0,512,0,0,0,0,0,32454000.0,281700.0
383,1999,복도식,개별,1,304,22643.543,0,383,0,0,0,0,0,17318500.0,265747.5
802,1996,복도식,개별,1,329,45039.24999999999,0,802,0,0,0,0,0,13253500.0,168575.0
420,1997,복도식,지역,1,327,29737.476,0,0,420,0,0,0,0,21801000.0,234350.0
536,1995,복도식,지역,1,434,29230.42,0,536,0,0,0,0,0,13339000.0,162550.0
526,1997,복도식,지역,1,349,34858.907600000006,0,134,392,0,0,0,0,14907333.333333334,244420.0
534,1996,복도식,지역,1,380,31546.31,0,89,445,0,0,0,0,15524000.0,191946.66666666666
1032,1999,복도식,지역,1,959,69911.62670000001,0,119,903,0,0,0,0,15431200.0,245236.0
630,1994,복도식,지역,1,180,35944.5,0,630,0,0,0,0,0,12798000.0,178990.0
